분야,헤드라인,신문사,뉴스url,본문요약,keyword,총 댓글수,긍정적 댓글비율(%)
정치,필리버스터에 또 소환된 ‘조스트라다무스’…“이런 경험 소중”,중앙일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=025&aid=0002956988&date=20191201&type=1&rankingSectionId=100&rankingSeq=21,"['민경 욱 자유 한국 당 의원이 1일 자신의 페이스 북에 조국 전 법무부 장관의 과거 페이스 북 글을 캡처해 올렸다.', '민경 욱 자유 한국 당 의원이 1일 자신의 페이스 북에 조국 전 법무부 장관의 과거 페이스 북 글을 캡처해 올렸다.', '민주당은 “ 민생파괴‧ 국회파괴 정당” 이라고 했고, 문희 상 국회의장은 의결 정족수가 돼야 한다는 이유로 본회의 개의를 하지 않았다.']",['버스터'],321,40.49844236760124
정치,"국정원 ""'김정은 숙부' 김평일 북한으로 귀국""",MBC,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=214&aid=0000997458&date=20191201&type=1&rankingSectionId=100&rankingSeq=22,"['북한 김 정은 국무위원장의 숙부인 김 평일 주체 코 북한대사가 귀국한 것으로 알려 졌습니다.', '서훈 국정원장은 어제 국회 정보 위 전체 회의에 출석해 김 대사 최근 북한으로 귀국한 것으로 안다고 말했습니다.', '김 대사는 김정일 국방위원장의 이복 동생으로 지난 1988년 헝가리 대사로 발령 난 이후 줄곧 해외를 떠돌며 북한 권력 핵심부에서 배제됐다는 평가를 받아 왔습니다.']",['대사'],119,19.327731092436977
정치,국정원 “김정은 숙부 김평일 주체코 대사 북한으로 귀국”,국민일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=005&aid=0001264185&date=20191201&type=1&rankingSectionId=100&rankingSeq=23,"['복수의 국회 정보위원들에 따르면 서훈 국가정보 원장은 전날 정보 위 전체 회의에 출석해 김 평일 대사가 최근 북한에 입국한 사실을 확인했다고 밝혔다.', '앞서 국가 정보원은 지난 4일 국회 정보위원회 국정감사에서 “ 김 평일 대사가 조만간 교체돼 귀국할 것으로 보인다” 고 보고 했었다.', '년 김정일이 공식 후계자로 내정된 뒤 권력에서 밀려난 김 대사는 1988년 헝가리 대사로 발령 난 후 줄곧 외국으로 떠돌며 생활해야 했다.']",['대사'],106,32.075471698113205
정치,"박지원, ""흑석동 집 팔겠다""는 김의겸에 ""존경한다""",이데일리,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=018&aid=0004528548&date=20191201&type=1&rankingSectionId=100&rankingSeq=24,"['김의 겸 전 청와대 대변인 ( 사진= 뉴 시스) [ 이 데일리 박 지혜 기자] 박지원 대안 신당 의원은 부동산 투기 논란이 됐던 서울 흑석동 상가 주택을 매각하겠다고', '앞서 김 전 대변인은 페이스 북을 통해 “ 청와대 대변인 시절 매입해 물의를 일으킨 흑석동의 집을 판다 ”며 “ 매 각 뒤 남은 차액에 대해서는 전액 기부하고 내역을 공개하겠다” 고 밝혔다.', '올해 3월 김 전 대변인은 지난해 7월 흑석동 상가 건물을 25억 7000만원에 매입한 사실이 알려 지며 투기 논란이 일자 청와대 대변인에서 사퇴했다.']",['대변인'],1664,23.016826923076923
정치,"해리스 美대사 ""文대통령, 종북좌파에 둘러싸여 있냐"" 발언 논란",TV조선,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=448&aid=0000287257&date=20191201&type=2&rankingSectionId=100&rankingSeq=25,"['[ 앵커] 해 리 해리스 주한 미국 대사가 "" 문 재인 대통령이 종 북 좌파에 둘러싸여 있다"" 고 말한 사실이 알려 져 논란입니다.', '해 군 4 성 장군 출신인 해리스 대사의 직설적 발언들이 자주 전해 지면서 여당 대변인은 "" 오만 하다"" 고 했었지만, 그만큼 미국이 우리 외교에 갖는 불만이 크다는 의미로도 볼 수도 있습니다.이 정연 기자입니다.', '']",['대사'],1486,26.312247644683715
정치,"나경원 ""본회의 열어 민식이법 처리…필리버스터 보장하라""(종합)",연합뉴스,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=001&aid=0011248957&date=20191201&type=1&rankingSectionId=100&rankingSeq=26,"['2019.12.1 toadboy@yna .co .kr "" 與, 소수당의 합법적 저항수단 봉쇄… 폭거· 정치 테러 사과해야"""" 민 식이 법 필리 버스터 신청 안했다""… 吳 \' 끝 장토론\' 제안엔 "" 적극 수용""( 서울= 연합 뉴스) 홍 정규 이은 정 기자 = 자유 한국 당 나 경원 원내 대표는 1일 당장에 라도 국회 본회의를 열어 \' 민 식이 법\' 을 비롯한 민생 법안을 처리 하자고 더불어 민주당에 제안했다.', '나 경원 원내 대표는 이날 국회에서 기자 간담회를 열어 민주당을 향해 "" 정말 민 식이 법, 민생 법안이 시급하다고', '나 원내 대표는 "" 민 식이 법을 국회 본회의에서 통과시키지 못하게 한 건 바로 여당이다.']",['본회의'],1113,21.293800539083556
정치,"박지원, 상가 팔겠다는 김의겸에 ""누가 그에게 돌을 던지랴""",경향신문,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=032&aid=0002978002&date=20191201&type=1&rankingSectionId=100&rankingSeq=27,"['박 의원은 1 일 페이스 북에 “ 역시 제가 아는 김의 겸 전 청와대 대변인이다.', '', '그는 “ 조용히 팔아 보려 했으나 여의치 않은데 다 오해를 낳을 수 있어 공개로 전환하는 것” 이라고 설명했다.']",['흑석동'],656,23.628048780487802
정치,'민식이 엄마' 눈물 흘리자…여야 모두 '네탓'만 주고받았다,중앙일보,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=025&aid=0002956865&date=20191201&type=1&rankingSectionId=100&rankingSeq=28,"['[ 연합 뉴스] 나 경원 자유 한국 당 원내 대표와 의원들이 29일 오후 국회 본회의장에서 구호를 외치고 있다.', '임 현동 기자 나 경원 자유 한국 당 원내 대표는 30일 "" 어린이 안전 법안 등 각종 시급한 민생 법안을 우선 처리하자는 요구를 차갑게 외면한 쪽이 바로 여당"" 이라고 일갈했다.', '민 식이 법 등 민생 법안이 처리되지 못한 건 분명히 민주당이 본회의를 거부한 탓"" 이라고 주장했다.']",['한국'],4749,22.194146136028635
정치,"이인영 ""한국당과 더 이상 대화 무의미…협상의 정치 종언""(종합)",연합뉴스,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=001&aid=0011248627&date=20191201&type=1&rankingSectionId=100&rankingSeq=29,"['2019.12.1 toadboy@yna .co .kr 기자 간담회하는 이인 영 원내 대표( 서울= 연합 뉴스) 하사헌 기자 = 더 불어 민주당 이인영 원내 대표가 1일 오전 서울 여의도 국회에서 기자 간담회를 하고 있다.', '2019.12.1 toadboy@yna .co .kr 기자 간담회하는 이인 영 원내 대표( 서울= 연합 뉴스) 하사헌 기자 = 더 불어 민주당 이인영 원내 대표가 1일 오전 서울 여의도 국회에서 기자 간담회를 하고 있다.', '2019.12.1 toadboy@yna .co .kr "" 원 포인트 본회의, 검토 가능… 민생 법안 처리정신 지켜 질지 의심"""" 민생 개혁 원하는 정치세력과 사태 해결… 한국당 대대적 \' 법질 극\'""( 서울= 연합 뉴스) 차지 연 이 보배 기자 = 더 불어 민주당 이인영 원내 대표는 1일 자유 한국 당의 199개 안건에 대해 필리 버스터( 합법적 의사 진행 방해 )를 신청한 것과 관련, "" 공존의 정치, 협상의 정치가 종언을 고했다"" 고 강하게 비판했다.']",['한국'],1071,26.05042016806723
정치,"한국당 '친문농단 게이트' 국정조사 요구…與 ""대응할 가치없어""(종합)",연합뉴스,https://news.naver.com/main/ranking/read.nhn?rankingType=popular_day&oid=001&aid=0011249195&date=20191201&type=1&rankingSectionId=100&rankingSeq=30,"[""[ 연합 뉴스 자료사진] 발언하는 한국 당 곽 상도 의원( 서울= 연합 뉴스) 안 정원 기자 = 자유 한국 당 곽 상도 의원이 지난달 28일 오후 서울 여의도 국회에서 열린 ' 울산시장 부정선거 등 친 문 게이트 진상조사위원회 1차 회의 '에서 발언하고 있다."", ""0eun @yna .co .kr 친 문 게이트 진상조사 위에서 발언하는 나 경원 원내 대표( 서울= 연합 뉴스) 하사헌 기자 = 자유 한국 당 나 경원 원내 대표가 1일 오후 서울 여의도 국회에서 열린 ' 울산시장 부정선거 등 친 문 게이트 진상조사위원회' 회의에서 발언하고 있다."", ""2019.12.1 toadboy@yna .co .kr 친 문 게이트 진상조사 위에서 발언하는 나 경원 원내 대표( 서울= 연합 뉴스) 하사헌 기자 = 자유 한국 당 나 경원 원내 대표가 1일 오후 서울 여의도 국회에서 열린 ' 울산시장 부정선거 등 친 문 게이트 진상조사위원회' 회의에서 발언하고 있다.""]",['대한'],891,26.038159371492704
